"Abangares"
"Acosta"
"Alajuela"
"Alajuelita"
"Alvarado"
"Aserrí"
"Atenas"
"Bagaces"
"Barva"
"Belén"
"Buenos Aires"
"Cañas"
"Carrillo"
"Cartago"
"Corredores"
"Coto Brus"
"Curridabat"
"Desamparados"
"Dota"
"El Guarco"
"Escazú"
"Esparza"
"Flores"
"Garabito"
"Goicoechea"
"Golfito"
"Grecia"
"Guácimo"
"Guatuso"
"Heredia"
"Hojancha"
"Jiménez"
"La Cruz"
"La Union"
"León Cortés Castro"
"Liberia"
"Limón"
"Los Chiles"
"Matina"
"Montes De Oca"
"Montes De Oro"
"Mora"
"Moravia"
"Nandayure"
"Naranjo"
"Nicoya"
"Oreamuno"
"Orotina"
"Osa"
"Palmares"
"Paraíso"
"Parrita"
"Pérez Zeledón"
"Poás"
"Pococí"
"Puntarenas"
"Puriscal"
"Quepos"
"San Carlos"
"San Isidro"
"San José"
"San Mateo"
"San Pablo"
"San Rafael"
"San Ramón"
"Santa Ana"
"Santa Barbara"
"Santa Cruz"
"Santo Domingo"
"Sarapiquí"
"Siquirres"
"Talamanca"
"Tarrazú"
"Tibas"
"Tilarán"
"Turrialba"
"Turrubares"
"Upala"
"Valverde Vega"
"Vásquez De Coronado"
"Zarcero"
